"assay"	"Sample.Name"	"pool"	"dil"	"run"	"rep"	"CT"
"Assay01"	"2"	1	1	1	1	23.5310001373291
"Assay01"	"2"	1	1	1	1	23.9500007629395
"Assay01"	"2"	1	2	1	1	24.9200000762939
"Assay01"	"2"	1	2	1	1	24.9370002746582
"Assay01"	"2"	1	3	1	1	25.9839992523193
"Assay01"	"2"	1	3	1	1	26.0049991607666
"Assay01"	"2"	1	4	1	1	27.4160003662109
"Assay01"	"2"	1	4	1	1	27.2940006256104
"Assay01"	"2"	1	5	1	1	28.0090007781982
"Assay01"	"2"	1	5	1	1	28.2059993743896
"Assay01"	"2"	1	6	1	1	29.5230007171631
"Assay01"	"2"	1	6	1	1	29.5779991149902
"Assay01"	"2"	1	7	1	1	29.3379993438721
"Assay01"	"2"	1	7	1	1	29.3659992218018
"Assay01"	"2"	1	8	1	1	31.4979991912842
"Assay01"	"2"	1	8	1	1	31.507999420166
"Assay01"	"2"	1	1	1	2	23.7670001983643
"Assay01"	"2"	1	1	1	2	23.8209991455078
"Assay01"	"2"	1	2	1	2	25.2250003814697
"Assay01"	"2"	1	2	1	2	25.068000793457
"Assay01"	"2"	1	3	1	2	26.1410007476807
"Assay01"	"2"	1	3	1	2	26.1840000152588
"Assay01"	"2"	1	4	1	2	27.4669990539551
"Assay01"	"2"	1	4	1	2	27.8169994354248
"Assay01"	"2"	1	5	1	2	27.8159999847412
"Assay01"	"2"	1	5	1	2	28.1140003204346
"Assay01"	"2"	1	6	1	2	29.0219993591309
"Assay01"	"2"	1	6	1	2	28.8430004119873
"Assay01"	"2"	1	7	1	2	29.8959999084473
"Assay01"	"2"	1	7	1	2	30
"Assay01"	"2"	1	8	1	2	30.9500007629395
"Assay01"	"2"	1	8	1	2	30.80299949646
"Assay01"	"2"	1	1	1	3	23.9440002441406
"Assay01"	"2"	1	1	1	3	23.9069995880127
"Assay01"	"2"	1	2	1	3	25.0919990539551
"Assay01"	"2"	1	2	1	3	24.9169998168945
"Assay01"	"2"	1	3	1	3	26.1709995269775
"Assay01"	"2"	1	3	1	3	26.2740001678467
"Assay01"	"2"	1	4	1	3	27.1660003662109
"Assay01"	"2"	1	4	1	3	27.363000869751
"Assay01"	"2"	1	5	1	3	28.7900009155273
"Assay01"	"2"	1	5	1	3	28.8290004730225
"Assay01"	"2"	1	6	1	3	29.3020000457764
"Assay01"	"2"	1	6	1	3	29.2849998474121
"Assay01"	"2"	1	7	1	3	30.7140007019043
"Assay01"	"2"	1	7	1	3	30.5499992370605
"Assay01"	"2"	1	8	1	3	30.8619995117188
"Assay01"	"2"	1	8	1	3	30.7980003356934
"Assay01"	"2"	1	1	1	4	24.0450000762939
"Assay01"	"2"	1	1	1	4	24.3969993591309
"Assay01"	"2"	1	2	1	4	25.1539993286133
"Assay01"	"2"	1	2	1	4	25.3570003509521
"Assay01"	"2"	1	3	1	4	26.4309997558594
"Assay01"	"2"	1	3	1	4	26.2679996490479
"Assay01"	"2"	1	4	1	4	27.8799991607666
"Assay01"	"2"	1	4	1	4	27.4570007324219
"Assay01"	"2"	1	5	1	4	27.9750003814697
"Assay01"	"2"	1	5	1	4	28.0139999389648
"Assay01"	"2"	1	6	1	4	29.3279991149902
"Assay01"	"2"	1	6	1	4	29.6439990997314
"Assay01"	"2"	1	7	1	4	29.9650001525879
"Assay01"	"2"	1	7	1	4	30.181999206543
"Assay01"	"2"	1	8	1	4	40
"Assay01"	"2"	1	8	1	4	40
"Assay01"	"2"	1	1	1	5	24.1299991607666
"Assay01"	"2"	1	1	1	5	24.2150001525879
"Assay01"	"2"	1	2	1	5	25.3299999237061
"Assay01"	"2"	1	2	1	5	25.3479995727539
"Assay01"	"2"	1	3	1	5	26.1770000457764
"Assay01"	"2"	1	3	1	5	26.2339992523193
"Assay01"	"2"	1	4	1	5	27.1270008087158
"Assay01"	"2"	1	4	1	5	27.2329998016357
"Assay01"	"2"	1	5	1	5	28.2940006256104
"Assay01"	"2"	1	5	1	5	28.4260005950928
"Assay01"	"2"	1	6	1	5	29.8530006408691
"Assay01"	"2"	1	6	1	5	29.6070003509521
"Assay01"	"2"	1	7	1	5	32.6510009765625
"Assay01"	"2"	1	7	1	5	32.1570014953613
"Assay01"	"2"	1	8	1	5	31.0540008544922
"Assay01"	"2"	1	8	1	5	31.0909996032715
"Assay01"	"2"	1	1	1	6	24.0149993896484
"Assay01"	"2"	1	1	1	6	24.1979999542236
"Assay01"	"2"	1	2	1	6	25.4829998016357
"Assay01"	"2"	1	2	1	6	25.4150009155273
"Assay01"	"2"	1	3	1	6	26.492000579834
"Assay01"	"2"	1	3	1	6	26.4230003356934
"Assay01"	"2"	1	4	1	6	26.7609996795654
"Assay01"	"2"	1	4	1	6	26.7229995727539
"Assay01"	"2"	1	5	1	6	28.0090007781982
"Assay01"	"2"	1	5	1	6	28.1009998321533
"Assay01"	"2"	1	6	1	6	29.7049999237061
"Assay01"	"2"	1	6	1	6	29.7320003509521
"Assay01"	"2"	1	7	1	6	30.7080001831055
"Assay01"	"2"	1	7	1	6	30.5139999389648
"Assay01"	"2"	1	8	1	6	32.7750015258789
"Assay01"	"2"	1	8	1	6	33.0820007324219
"Assay01"	"2"	1	1	1	7	24.125
"Assay01"	"2"	1	1	1	7	24.1499996185303
"Assay01"	"2"	1	2	1	7	24.8999996185303
"Assay01"	"2"	1	2	1	7	24.9790000915527
"Assay01"	"2"	1	3	1	7	26.193000793457
"Assay01"	"2"	1	3	1	7	26.5139999389648
"Assay01"	"2"	1	4	1	7	27.2609996795654
"Assay01"	"2"	1	4	1	7	27.2229995727539
"Assay01"	"2"	1	5	1	7	27.9629993438721
"Assay01"	"2"	1	5	1	7	28.0090007781982
"Assay01"	"2"	1	6	1	7	29.5230007171631
"Assay01"	"2"	1	6	1	7	29.3159999847412
"Assay01"	"2"	1	7	1	7	30.6770000457764
"Assay01"	"2"	1	7	1	7	30.0069999694824
"Assay01"	"2"	1	8	1	7	32.5089988708496
"Assay01"	"2"	1	8	1	7	32.4729995727539
"Assay01"	"2"	2	1	1	1	24.3649997711182
"Assay01"	"2"	2	1	1	1	24.4529991149902
"Assay01"	"2"	2	2	1	1	25.4090003967285
"Assay01"	"2"	2	2	1	1	25.556999206543
"Assay01"	"2"	2	3	1	1	27.3910007476807
"Assay01"	"2"	2	3	1	1	27.2919998168945
"Assay01"	"2"	2	4	1	1	28.1000003814697
"Assay01"	"2"	2	4	1	1	28.3010005950928
"Assay01"	"2"	2	5	1	1	28.4419994354248
"Assay01"	"2"	2	5	1	1	28.5860004425049
"Assay01"	"2"	2	6	1	1	29.386999130249
"Assay01"	"2"	2	6	1	1	29.5139999389648
"Assay01"	"2"	2	7	1	1	30.4130001068115
"Assay01"	"2"	2	7	1	1	30.1809997558594
"Assay01"	"2"	2	8	1	1	34.1629981994629
"Assay01"	"2"	2	8	1	1	34.2529983520508
"Assay01"	"2"	2	1	1	2	24.5349998474121
"Assay01"	"2"	2	1	1	2	24.6299991607666
"Assay01"	"2"	2	2	1	2	25.9540004730225
"Assay01"	"2"	2	2	1	2	25.8540000915527
"Assay01"	"2"	2	3	1	2	26.9130001068115
"Assay01"	"2"	2	3	1	2	26.9179992675781
"Assay01"	"2"	2	4	1	2	27.67799949646
"Assay01"	"2"	2	4	1	2	27.4689998626709
"Assay01"	"2"	2	5	1	2	28.0289993286133
"Assay01"	"2"	2	5	1	2	28.117000579834
"Assay01"	"2"	2	6	1	2	28.6140003204346
"Assay01"	"2"	2	6	1	2	28.7080001831055
"Assay01"	"2"	2	7	1	2	31.6539993286133
"Assay01"	"2"	2	7	1	2	31.5620002746582
"Assay01"	"2"	2	8	1	2	32.4749984741211
